Recinto;Aparelhos;Percentual;Valor R$
Bauru;13474;46.32%;14006852.44
Ipiranga;9392;32.28%;9763422.75
Araraquara;4959;17.05%;5155112.16
Viracopos;665;2.29%;691298.57
São José do Rio Preto;601;2.07%;624767.58
Total;29091;100.00%;30241453.50
