Recinto;Aparelhos;Valor R$;% Aparelhos;% Valor
Bauru;16340;14468016.27;58.6%;51.9%
Araraquara;880;847522.48;3.2%;3.0%
Ipiranga;9392;11160407.80;33.7%;40.0%
Viracopos;665;1134423.76;2.4%;4.1%
São José do Rio Preto;601;273810.15;2.2%;1.0%
TOTAL;27878;27884180.46;100%;100%
