PDF,Quantidade,Descrição,Valor (texto),Valor (numérico),Linha Original
ADM 0800100_0734_2025 de 30_09_2025.PDF,1.0,"SMARTPHONE MOTOROLA MOTO E13, 64GB, INDIA, IMEI1:","657,97",657.97,"1,00 un SMARTPHONE MOTOROLA MOTO E13, 64GB, INDIA, IMEI1:"
ADM 0800100_0734_2025 de 30_09_2025.PDF,1.0,"SMARTPHONE MOTOROLA MOTO E32, 64GB, CHINA IMEI1:","657,97",657.97,"1,00 un SMARTPHONE MOTOROLA MOTO E32, 64GB, CHINA IMEI1:"
ADM 0800100_0734_2025 de 30_09_2025.PDF,2.0,"SMARTPHONE XIAOMI POCO M5S, 128GB, CHINA SN:","2.146,00",2146.0,"2,00 un SMARTPHONE XIAOMI POCO M5S, 128GB, CHINA SN:"
ADM 0800100_0734_2025 de 30_09_2025.PDF,1.0,"SMARTPHONE XIAOMI POCO C55, 128GB, INDIA, SN:","1.073,00",1073.0,"1,00 un SMARTPHONE XIAOMI POCO C55, 128GB, INDIA, SN:"
ADM 0800100_0734_2025 de 30_09_2025.PDF,1.0,"SMARTPHONE XIAOMI POCO C55, 64GB, INDIA, SN:","1.073,00",1073.0,"1,00 un SMARTPHONE XIAOMI POCO C55, 64GB, INDIA, SN:"
ADM 0800100_0734_2025 de 30_09_2025.PDF,2.0,"SMARTPHONE XIAOMI REDMI NOTE 11, 128GB, INDONESIA, SN:","2.146,00",2146.0,"2,00 un SMARTPHONE XIAOMI REDMI NOTE 11, 128GB, INDONESIA, SN:"
ADM 0800100_0734_2025 de 30_09_2025.PDF,2.0,"SMARTPHONE XIAOMI REDMI NOTE 11, 128GB, INDIA, SN:","2.146,00",2146.0,"2,00 un SMARTPHONE XIAOMI REDMI NOTE 11, 128GB, INDIA, SN:"
ADM 0800100_0734_2025 de 30_09_2025.PDF,2.0,"SMARTPHONE XIAOMI REDMI A1, 32GB, CHINA, SN:","2.146,00",2146.0,"2,00 un SMARTPHONE XIAOMI REDMI A1, 32GB, CHINA, SN:"
ADM 0800100_0734_2025 de 30_09_2025.PDF,10.0,"SMARTPHONE XIAOMI REDMI 10C, 128GB, CHINA SERIE OU IMEI NO","10.532,20",10532.2,"10,00 un SMARTPHONE XIAOMI REDMI 10C, 128GB, CHINA SERIE OU IMEI NO"
ADM 0800100_0734_2025 de 30_09_2025.PDF,11.0,"SMARTPHONE XIAOMI REDMI 12C, 128GB, CHINA SERIE OU IMEI NO","11.585,42",11585.42,"11,00 un SMARTPHONE XIAOMI REDMI 12C, 128GB, CHINA SERIE OU IMEI NO"
ADM 0800100_0734_2025 de 30_09_2025.PDF,5.0,"SMARTPHONE XIAOMI REDMI 9C, 64GB, CHINA SERIE OU IMEI NO","5.266,10",5266.1,"5,00 un SMARTPHONE XIAOMI REDMI 9C, 64GB, CHINA SERIE OU IMEI NO"
ADM 0800100_0734_2025 de 30_09_2025.PDF,5.0,"SMARTPHONE XIAOMI REDMI A1, 32GB, CHINA SERIE OU IMEI NO","5.266,10",5266.1,"5,00 un SMARTPHONE XIAOMI REDMI A1, 32GB, CHINA SERIE OU IMEI NO"
ADM 0800100_0734_2025 de 30_09_2025.PDF,1.0,"SMARTPHONE XIAOMI REDMI NOTE 12, 128GB, CHINA SERIE OU IMEI","1.053,22",1053.22,"1,00 un SMARTPHONE XIAOMI REDMI NOTE 12, 128GB, CHINA SERIE OU IMEI"
ADM 0800100_0734_2025 de 30_09_2025.PDF,3.0,"SMARTPHONE XIAOMI REDMI NOTE 12 PRO, 128GB, CHINA SN:","3.179,37",3179.37,"3,00 un SMARTPHONE XIAOMI REDMI NOTE 12 PRO, 128GB, CHINA SN:"
ADM 0800100_0734_2025 de 30_09_2025.PDF,1.0,"SMARTPHONE XIAOMI POCO X5 PRO 5G, 256GB, INDIA","1.059,79",1059.79,"1,00 un SMARTPHONE XIAOMI POCO X5 PRO 5G, 256GB, INDIA"
ADM 0800100_0734_2025 de 30_09_2025.PDF,1.0,"SMARTPHONE XIAOMI POCO X5 5G, 128GB, CHINA","1.059,79",1059.79,"1,00 un SMARTPHONE XIAOMI POCO X5 5G, 128GB, CHINA"
ADM 0800100_0734_2025 de 30_09_2025.PDF,1.0,"SMARTPHONE XIAOMI POCO C50, 32GB, INDIA","1.059,79",1059.79,"1,00 un SMARTPHONE XIAOMI POCO C50, 32GB, INDIA"
ADM 0800100_0734_2025 de 30_09_2025.PDF,1.0,"SMARTPHONE XIAOMI REDMI NOTE 12 PRO 5G, 256GB, CHINAREDMI","1.059,79",1059.79,"1,00 un SMARTPHONE XIAOMI REDMI NOTE 12 PRO 5G, 256GB, CHINAREDMI"
ADM 0800100_0734_2025 de 30_09_2025.PDF,2.0,"SMARTPHONE XIAOMI REDMI 9A, 32GB, CHINA","2.119,58",2119.58,"2,00 un SMARTPHONE XIAOMI REDMI 9A, 32GB, CHINA"
ADM 0800100_0734_2025 de 30_09_2025.PDF,3.0,"SMARTPHONE XIAOMI REDMI NOTE 12 S, 256GB, CHINA","3.179,37",3179.37,"3,00 un SMARTPHONE XIAOMI REDMI NOTE 12 S, 256GB, CHINA"
ADM 0800100_0734_2025 de 30_09_2025.PDF,4.0,"SMARTPHONE XIAOMI REDMI 10A SPORT, 128GB, INDIA, SN:","4.239,16",4239.16,"4,00 un SMARTPHONE XIAOMI REDMI 10A SPORT, 128GB, INDIA, SN:"
ADM 0800100_0734_2025 de 30_09_2025.PDF,2.0,"SMARTPHONE XIAOMI POCO M5, 128GB, CHINA","2.119,58",2119.58,"2,00 un SMARTPHONE XIAOMI POCO M5, 128GB, CHINA"
ADM 0800100_0734_2025 de 30_09_2025.PDF,7.0,"SMARTPHONE XIAOMI REDMI NOTE 12 PRO, 256GB, CHINA SN NO","7.418,53",7418.53,"7,00 un SMARTPHONE XIAOMI REDMI NOTE 12 PRO, 256GB, CHINA SN NO"
ADM 0800100_0734_2025 de 30_09_2025.PDF,11.0,"SMARTPHONE XIAOMI REDMI NOTE 12, 128GB, CHINA SN NO","11.657,69",11657.69,"11,00 un SMARTPHONE XIAOMI REDMI NOTE 12, 128GB, CHINA SN NO"
ADM 0800100_0734_2025 de 30_09_2025.PDF,80.0,"SMARTPHONE XIAOMI REDMI NOTE 12 , 128GB CHINA, NUMERO DE","82.763,20",82763.2,"80,00 un SMARTPHONE XIAOMI REDMI NOTE 12 , 128GB CHINA, NUMERO DE"
ADM 0800100_0734_2025 de 30_09_2025.PDF,2.0,"SMARTPHONE REALME 11 PRO MAIS 56 CHINA,256GB, NUMERO DE","3.776,16",3776.16,"2,00 un SMARTPHONE REALME 11 PRO MAIS 56 CHINA,256GB, NUMERO DE"
ADM 0800100_0734_2025 de 30_09_2025.PDF,2.0,"SMARTPHONE REALME C53 CHINA,128GB, NUMERO DE SERIE NO","3.776,16",3776.16,"2,00 un SMARTPHONE REALME C53 CHINA,128GB, NUMERO DE SERIE NO"
ADM 0800100_0734_2025 de 30_09_2025.PDF,2.0,"SMARTPHONE REALME C30S CHINA,326GB, NUMERO DE SERIE NO","3.776,16",3776.16,"2,00 un SMARTPHONE REALME C30S CHINA,326GB, NUMERO DE SERIE NO"
ADM 0800100_0734_2025 de 30_09_2025.PDF,1.0,"SMARTPHONE OPPO RENO7 CHINA,128GB, NUMERO DE SERIE NO","1.888,08",1888.08,"1,00 un SMARTPHONE OPPO RENO7 CHINA,128GB, NUMERO DE SERIE NO"
ADM 0800100_0734_2025 de 30_09_2025.PDF,3.0,"SMARTPHONE XIAOMI REDMI NOTE 12, 128GB CHINA,SN:","3.139,68",3139.68,"3,00 un SMARTPHONE XIAOMI REDMI NOTE 12, 128GB CHINA,SN:"
ADM 0800100_0734_2025 de 30_09_2025.PDF,1.0,"SMARTPHONE MOTOROLA MOTO G 52, 64GB CHINA, IMEI 1 :","641,76",641.76,"1,00 un SMARTPHONE MOTOROLA MOTO G 52, 64GB CHINA, IMEI 1 :"
ADM 0800100_0734_2025 de 30_09_2025.PDF,4.0,"SMARTPHONE XIAOMI REDMI A2, 64GB CHINA,SN: 50524;63X806270,","4.149,52",4149.52,"4,00 un SMARTPHONE XIAOMI REDMI A2, 64GB CHINA,SN: 50524;63X806270,"
ADM 0800100_0734_2025 de 30_09_2025.PDF,1.0,"SMARTPHONE XIAOMI POCO M4, 64GB 5G CHINA,SN:","1.037,38",1037.38,"1,00 un SMARTPHONE XIAOMI POCO M4, 64GB 5G CHINA,SN:"
ADM 0800100_0734_2025 de 30_09_2025.PDF,1.0,"SMARTPHONE XIAOMI REDMI NOTE 10 PRO, 128GB CHINA,SN:","1.037,38",1037.38,"1,00 un SMARTPHONE XIAOMI REDMI NOTE 10 PRO, 128GB CHINA,SN:"
ADM 0800100_0734_2025 de 30_09_2025.PDF,1.0,"SMARTPHONE XIAOMI REDMI 10, 128GB 5G CHINA,SN:","1.037,38",1037.38,"1,00 un SMARTPHONE XIAOMI REDMI 10, 128GB 5G CHINA,SN:"
ADM 0800100_0734_2025 de 30_09_2025.PDF,1.0,"SMARTPHONE XIAOMI REDMI 12, 256GB CHINA,SN:","1.037,38",1037.38,"1,00 un SMARTPHONE XIAOMI REDMI 12, 256GB CHINA,SN:"
ADM 0800100_0734_2025 de 30_09_2025.PDF,1.0,"SMARTPHONE XIAOMI REDMI 12, 128GB INDIA,SN:","1.037,38",1037.38,"1,00 un SMARTPHONE XIAOMI REDMI 12, 128GB INDIA,SN:"
ADM 0800100_0734_2025 de 30_09_2025.PDF,2.0,"SMARTPHONE REALME C55, 256GB CHINA,SN: 3814161810010700,","3.914,64",3914.64,"2,00 un SMARTPHONE REALME C55, 256GB CHINA,SN: 3814161810010700,"
ADM 0800100_0734_2025 de 30_09_2025.PDF,1.0,SMARTPHONE POCO X6 PRO 5G 512GB 12GB RAM,"1.140,00",1140.0,"1,00 un SMARTPHONE POCO X6 PRO 5G 512GB 12GB RAM"
ADM 0800100_0734_2025 de 30_09_2025.PDF,1.0,SMARTPHONE POCO X6 PRO 5G 512GB 12GB RAM,"1.140,00",1140.0,"1,00 un SMARTPHONE POCO X6 PRO 5G 512GB 12GB RAM"
ADM 0800100_0734_2025 de 30_09_2025.PDF,1.0,SMARTPHONE POCO X6 5G 256GB 8GB RAM,"1.240,00",1240.0,"1,00 un SMARTPHONE POCO X6 5G 256GB 8GB RAM"
ADM 0800100_0734_2025 de 30_09_2025.PDF,1.0,SMARTPHONE POCO X6 PRO 5G 512GB 12GB RAM,"1.140,00",1140.0,"1,00 un SMARTPHONE POCO X6 PRO 5G 512GB 12GB RAM"
ADM 0800100_0734_2025 de 30_09_2025.PDF,1.0,SMARTPHONE POCO X6 PRO 5G 512GB 12GB RAM,"1.140,00",1140.0,"1,00 un SMARTPHONE POCO X6 PRO 5G 512GB 12GB RAM"
ADM 0800100_0734_2025 de 30_09_2025.PDF,1.0,SMARTPHONE POCO X6 5G 256GB 8GB RAM,"1.240,00",1240.0,"1,00 un SMARTPHONE POCO X6 5G 256GB 8GB RAM"
ADM 0800100_0734_2025 de 30_09_2025.PDF,1.0,SMARTPHONE POCO X6 PRO 5G 512GB 12GB RAM,"1.140,00",1140.0,"1,00 un SMARTPHONE POCO X6 PRO 5G 512GB 12GB RAM"
ADM 0800100_0734_2025 de 30_09_2025.PDF,1.0,SMARTPHONE POCO X6 PRO 5G 512GB 12GB RAM,"1.140,00",1140.0,"1,00 un SMARTPHONE POCO X6 PRO 5G 512GB 12GB RAM"
ADM 0800100_0734_2025 de 30_09_2025.PDF,1.0,SMARTPHONE POCO X6 PRO 5G 512GB 12GB RAM,"1.140,00",1140.0,"1,00 un SMARTPHONE POCO X6 PRO 5G 512GB 12GB RAM"
ADM 0800100_0734_2025 de 30_09_2025.PDF,1.0,SMARTPHONE XIAOMI REDMI 13C 256GB 8GB RAM,"500,00",500.0,"1,00 un SMARTPHONE XIAOMI REDMI 13C 256GB 8GB RAM"
ADM 0800100_0734_2025 de 30_09_2025.PDF,1.0,SMARTPHONE XIAOMI REDMI 13C 256GB 8GB RAM,"500,00",500.0,"1,00 un SMARTPHONE XIAOMI REDMI 13C 256GB 8GB RAM"
ADM 0800100_0734_2025 de 30_09_2025.PDF,1.0,SMARTPHONE XIAOMI REDMI 13C 256GB 8GB RAM,"500,00",500.0,"1,00 un SMARTPHONE XIAOMI REDMI 13C 256GB 8GB RAM"
ADM 0800100_0734_2025 de 30_09_2025.PDF,1.0,SMARTPHONE XIAOMI REDMI 13C 256GB 8GB RAM,"500,00",500.0,"1,00 un SMARTPHONE XIAOMI REDMI 13C 256GB 8GB RAM"
ADM 0800100_0734_2025 de 30_09_2025.PDF,1.0,SMARTPHONE XIAOMI REDMI 13C 256GB 8GB RAM,"500,00",500.0,"1,00 un SMARTPHONE XIAOMI REDMI 13C 256GB 8GB RAM"
ADM 0800100_0734_2025 de 30_09_2025.PDF,1.0,SMARTPHONE XIAOMI REDMI 13C 256GB 8GB RAM,"500,00",500.0,"1,00 un SMARTPHONE XIAOMI REDMI 13C 256GB 8GB RAM"
ADM 0800100_0734_2025 de 30_09_2025.PDF,1.0,SMARTPHONE SAMSUNG GALAXY A04E 32GB 3GB RAM,"440,23",440.23,"1,00 un SMARTPHONE SAMSUNG GALAXY A04E 32GB 3GB RAM"
ADM 0800100_0734_2025 de 30_09_2025.PDF,1.0,SMARTPHONE SAMSUNG GALAXY A04E 32GB 3GB RAM,"440,23",440.23,"1,00 un SMARTPHONE SAMSUNG GALAXY A04E 32GB 3GB RAM"
ADM 0800100_0734_2025 de 30_09_2025.PDF,1.0,SMARTPHONE SAMSUNG GALAXY A04E 32GB 3GB RAM,"440,23",440.23,"1,00 un SMARTPHONE SAMSUNG GALAXY A04E 32GB 3GB RAM"
ADM 0800100_0734_2025 de 30_09_2025.PDF,1.0,SMARTPHONE SAMSUNG GALAXY A04E 32GB 3GB RAM,"440,23",440.23,"1,00 un SMARTPHONE SAMSUNG GALAXY A04E 32GB 3GB RAM"
ADM 0800100_0734_2025 de 30_09_2025.PDF,1.0,SMARTPHONE SAMSUNG GALAXY A04E 32GB 3GB RAM,"440,23",440.23,"1,00 un SMARTPHONE SAMSUNG GALAXY A04E 32GB 3GB RAM"
ADM 0800100_0734_2025 de 30_09_2025.PDF,1.0,SMARTPHONE SAMSUNG GALAXY A04E 32GB 3GB RAM,"440,23",440.23,"1,00 un SMARTPHONE SAMSUNG GALAXY A04E 32GB 3GB RAM"
