PDF,Quantidade,Descrição Completa,Linha Original
ADM 0800100_0734_2025 de 30_09_2025.PDF,1,"SMARTPHONE XIAOMI POCO C55, 64GB, INDIA, SN:","1,00 un SMARTPHONE XIAOMI POCO C55, 64GB, INDIA, SN:"
ADM 0800100_0734_2025 de 30_09_2025.PDF,2,"SMARTPHONE XIAOMI REDMI NOTE 11, 128GB, INDONESIA, SN:","2,00 un SMARTPHONE XIAOMI REDMI NOTE 11, 128GB, INDONESIA, SN:"
ADM 0800100_0734_2025 de 30_09_2025.PDF,2,"SMARTPHONE XIAOMI REDMI NOTE 11, 128GB, INDIA, SN:","2,00 un SMARTPHONE XIAOMI REDMI NOTE 11, 128GB, INDIA, SN:"
ADM 0800100_0734_2025 de 30_09_2025.PDF,2,"SMARTPHONE XIAOMI REDMI A1, 32GB, CHINA, SN:","2,00 un SMARTPHONE XIAOMI REDMI A1, 32GB, CHINA, SN:"
ADM 0800100_0734_2025 de 30_09_2025.PDF,10,"SMARTPHONE XIAOMI REDMI 10C, 128GB, CHINA SERIE OU IMEI NO","10,00 un SMARTPHONE XIAOMI REDMI 10C, 128GB, CHINA SERIE OU IMEI NO"
ADM 0800100_0734_2025 de 30_09_2025.PDF,11,"SMARTPHONE XIAOMI REDMI 12C, 128GB, CHINA SERIE OU IMEI NO","11,00 un SMARTPHONE XIAOMI REDMI 12C, 128GB, CHINA SERIE OU IMEI NO"
ADM 0800100_0734_2025 de 30_09_2025.PDF,5,"SMARTPHONE XIAOMI REDMI 9C, 64GB, CHINA SERIE OU IMEI NO","5,00 un SMARTPHONE XIAOMI REDMI 9C, 64GB, CHINA SERIE OU IMEI NO"
ADM 0800100_0734_2025 de 30_09_2025.PDF,5,"SMARTPHONE XIAOMI REDMI A1, 32GB, CHINA SERIE OU IMEI NO","5,00 un SMARTPHONE XIAOMI REDMI A1, 32GB, CHINA SERIE OU IMEI NO"
ADM 0800100_0734_2025 de 30_09_2025.PDF,1,"SMARTPHONE XIAOMI REDMI NOTE 12, 128GB, CHINA SERIE OU IMEI","1,00 un SMARTPHONE XIAOMI REDMI NOTE 12, 128GB, CHINA SERIE OU IMEI"
ADM 0800100_0734_2025 de 30_09_2025.PDF,3,"SMARTPHONE XIAOMI REDMI NOTE 12 PRO, 128GB, CHINA SN:","3,00 un SMARTPHONE XIAOMI REDMI NOTE 12 PRO, 128GB, CHINA SN:"
ADM 0800100_0734_2025 de 30_09_2025.PDF,1,"SMARTPHONE XIAOMI POCO X5 PRO 5G, 256GB, INDIA","1,00 un SMARTPHONE XIAOMI POCO X5 PRO 5G, 256GB, INDIA"
ADM 0800100_0734_2025 de 30_09_2025.PDF,1,"SMARTPHONE XIAOMI POCO X5 5G, 128GB, CHINA","1,00 un SMARTPHONE XIAOMI POCO X5 5G, 128GB, CHINA"
ADM 0800100_0734_2025 de 30_09_2025.PDF,1,"SMARTPHONE XIAOMI POCO C50, 32GB, INDIA","1,00 un SMARTPHONE XIAOMI POCO C50, 32GB, INDIA"
ADM 0800100_0734_2025 de 30_09_2025.PDF,1,"SMARTPHONE XIAOMI REDMI NOTE 12 PRO 5G, 256GB, CHINAREDMI","1,00 un SMARTPHONE XIAOMI REDMI NOTE 12 PRO 5G, 256GB, CHINAREDMI"
ADM 0800100_0734_2025 de 30_09_2025.PDF,2,"SMARTPHONE XIAOMI REDMI 9A, 32GB, CHINA","2,00 un SMARTPHONE XIAOMI REDMI 9A, 32GB, CHINA"
ADM 0800100_0734_2025 de 30_09_2025.PDF,3,"SMARTPHONE XIAOMI REDMI NOTE 12 S, 256GB, CHINA","3,00 un SMARTPHONE XIAOMI REDMI NOTE 12 S, 256GB, CHINA"
ADM 0800100_0734_2025 de 30_09_2025.PDF,4,"SMARTPHONE XIAOMI REDMI 10A SPORT, 128GB, INDIA, SN:","4,00 un SMARTPHONE XIAOMI REDMI 10A SPORT, 128GB, INDIA, SN:"
ADM 0800100_0734_2025 de 30_09_2025.PDF,2,"SMARTPHONE XIAOMI POCO M5, 128GB, CHINA","2,00 un SMARTPHONE XIAOMI POCO M5, 128GB, CHINA"
ADM 0800100_0734_2025 de 30_09_2025.PDF,7,"SMARTPHONE XIAOMI REDMI NOTE 12 PRO, 256GB, CHINA SN NO","7,00 un SMARTPHONE XIAOMI REDMI NOTE 12 PRO, 256GB, CHINA SN NO"
ADM 0800100_0734_2025 de 30_09_2025.PDF,11,"SMARTPHONE XIAOMI REDMI NOTE 12, 128GB, CHINA SN NO","11,00 un SMARTPHONE XIAOMI REDMI NOTE 12, 128GB, CHINA SN NO"
ADM 0800100_0734_2025 de 30_09_2025.PDF,80,"SMARTPHONE XIAOMI REDMI NOTE 12 , 128GB CHINA, NUMERO DE","80,00 un SMARTPHONE XIAOMI REDMI NOTE 12 , 128GB CHINA, NUMERO DE"
ADM 0800100_0734_2025 de 30_09_2025.PDF,2,"SMARTPHONE REALME 11 PRO MAIS 56 CHINA,256GB, NUMERO DE","2,00 un SMARTPHONE REALME 11 PRO MAIS 56 CHINA,256GB, NUMERO DE"
ADM 0800100_0734_2025 de 30_09_2025.PDF,2,"SMARTPHONE REALME C53 CHINA,128GB, NUMERO DE SERIE NO","2,00 un SMARTPHONE REALME C53 CHINA,128GB, NUMERO DE SERIE NO"
ADM 0800100_0734_2025 de 30_09_2025.PDF,2,"SMARTPHONE REALME C30S CHINA,326GB, NUMERO DE SERIE NO","2,00 un SMARTPHONE REALME C30S CHINA,326GB, NUMERO DE SERIE NO"
ADM 0800100_0734_2025 de 30_09_2025.PDF,1,"SMARTPHONE OPPO RENO7 CHINA,128GB, NUMERO DE SERIE NO","1,00 un SMARTPHONE OPPO RENO7 CHINA,128GB, NUMERO DE SERIE NO"
ADM 0800100_0734_2025 de 30_09_2025.PDF,3,"SMARTPHONE XIAOMI REDMI NOTE 12, 128GB CHINA,SN:","3,00 un SMARTPHONE XIAOMI REDMI NOTE 12, 128GB CHINA,SN:"
ADM 0800100_0734_2025 de 30_09_2025.PDF,1,"SMARTPHONE MOTOROLA MOTO G 52, 64GB CHINA, IMEI 1 :","1,00 un SMARTPHONE MOTOROLA MOTO G 52, 64GB CHINA, IMEI 1 :"
ADM 0800100_0734_2025 de 30_09_2025.PDF,4,"SMARTPHONE XIAOMI REDMI A2, 64GB CHINA,SN: 50524;63X806270,","4,00 un SMARTPHONE XIAOMI REDMI A2, 64GB CHINA,SN: 50524;63X806270,"
ADM 0800100_0734_2025 de 30_09_2025.PDF,1,"SMARTPHONE XIAOMI POCO M4, 64GB 5G CHINA,SN:","1,00 un SMARTPHONE XIAOMI POCO M4, 64GB 5G CHINA,SN:"
ADM 0800100_0734_2025 de 30_09_2025.PDF,1,"SMARTPHONE XIAOMI REDMI NOTE 10 PRO, 128GB CHINA,SN:","1,00 un SMARTPHONE XIAOMI REDMI NOTE 10 PRO, 128GB CHINA,SN:"
ADM 0800100_0734_2025 de 30_09_2025.PDF,1,"SMARTPHONE XIAOMI REDMI 10, 128GB 5G CHINA,SN:","1,00 un SMARTPHONE XIAOMI REDMI 10, 128GB 5G CHINA,SN:"
ADM 0800100_0734_2025 de 30_09_2025.PDF,1,"SMARTPHONE XIAOMI REDMI 12, 256GB CHINA,SN:","1,00 un SMARTPHONE XIAOMI REDMI 12, 256GB CHINA,SN:"
ADM 0800100_0734_2025 de 30_09_2025.PDF,1,"SMARTPHONE XIAOMI REDMI 12, 128GB INDIA,SN:","1,00 un SMARTPHONE XIAOMI REDMI 12, 128GB INDIA,SN:"
ADM 0800100_0734_2025 de 30_09_2025.PDF,2,"SMARTPHONE REALME C55, 256GB CHINA,SN: 3814161810010700,","2,00 un SMARTPHONE REALME C55, 256GB CHINA,SN: 3814161810010700,"
ADM 0800100_0734_2025 de 30_09_2025.PDF,1,SMARTPHONE POCO X6 PRO 5G 512GB 12GB RAM,"1,00 un SMARTPHONE POCO X6 PRO 5G 512GB 12GB RAM"
ADM 0800100_0734_2025 de 30_09_2025.PDF,1,SMARTPHONE POCO X6 PRO 5G 512GB 12GB RAM,"1,00 un SMARTPHONE POCO X6 PRO 5G 512GB 12GB RAM"
ADM 0800100_0734_2025 de 30_09_2025.PDF,1,SMARTPHONE POCO X6 5G 256GB 8GB RAM,"1,00 un SMARTPHONE POCO X6 5G 256GB 8GB RAM"
ADM 0800100_0734_2025 de 30_09_2025.PDF,1,SMARTPHONE POCO X6 PRO 5G 512GB 12GB RAM,"1,00 un SMARTPHONE POCO X6 PRO 5G 512GB 12GB RAM"
ADM 0800100_0734_2025 de 30_09_2025.PDF,1,SMARTPHONE POCO X6 PRO 5G 512GB 12GB RAM,"1,00 un SMARTPHONE POCO X6 PRO 5G 512GB 12GB RAM"
ADM 0800100_0734_2025 de 30_09_2025.PDF,1,SMARTPHONE POCO X6 5G 256GB 8GB RAM,"1,00 un SMARTPHONE POCO X6 5G 256GB 8GB RAM"
ADM 0800100_0734_2025 de 30_09_2025.PDF,1,SMARTPHONE POCO X6 PRO 5G 512GB 12GB RAM,"1,00 un SMARTPHONE POCO X6 PRO 5G 512GB 12GB RAM"
ADM 0800100_0734_2025 de 30_09_2025.PDF,1,SMARTPHONE POCO X6 PRO 5G 512GB 12GB RAM,"1,00 un SMARTPHONE POCO X6 PRO 5G 512GB 12GB RAM"
ADM 0800100_0734_2025 de 30_09_2025.PDF,1,SMARTPHONE POCO X6 PRO 5G 512GB 12GB RAM,"1,00 un SMARTPHONE POCO X6 PRO 5G 512GB 12GB RAM"
ADM 0800100_0734_2025 de 30_09_2025.PDF,1,SMARTPHONE XIAOMI REDMI 13C 256GB 8GB RAM,"1,00 un SMARTPHONE XIAOMI REDMI 13C 256GB 8GB RAM"
ADM 0800100_0734_2025 de 30_09_2025.PDF,1,SMARTPHONE XIAOMI REDMI 13C 256GB 8GB RAM,"1,00 un SMARTPHONE XIAOMI REDMI 13C 256GB 8GB RAM"
