Quantidade,Descrição,Valor (texto),Valor (numérico),Linha Original
1.0,SMARTPHONE XIAOMI REDMI 13C //CB:43708454074-,"929,90",929.9,"1,00 un SMARTPHONE XIAOMI REDMI 13C //CB:43708454074-"
1.0,SMARTPHONE XIAOMI REDMI 13C //CB:43707073751-,"929,90",929.9,"1,00 un SMARTPHONE XIAOMI REDMI 13C //CB:43707073751-"
1.0,SMARTPHONE XIAOMI REDMI 13C //CB:43713865005-,"929,90",929.9,"1,00 un SMARTPHONE XIAOMI REDMI 13C //CB:43713865005-"
1.0,SMARTPHONE XIAOMI REDMI 13C //CB:43710936054-,"929,90",929.9,"1,00 un SMARTPHONE XIAOMI REDMI 13C //CB:43710936054-"
1.0,SMARTPHONE XIAOMI REDMI 13C //CB:43705452384-,"929,90",929.9,"1,00 un SMARTPHONE XIAOMI REDMI 13C //CB:43705452384-"
1.0,SMARTPHONE XIAOMI REDMI 13C //CB:43708723845-,"929,90",929.9,"1,00 un SMARTPHONE XIAOMI REDMI 13C //CB:43708723845-"
1.0,SMARTPHONE XIAOMI REDMI 13C //CB:43708901651-,"929,90",929.9,"1,00 un SMARTPHONE XIAOMI REDMI 13C //CB:43708901651-"
1.0,SMARTPHONE XIAOMI REDMI 13C //CB:43712862809-,"929,90",929.9,"1,00 un SMARTPHONE XIAOMI REDMI 13C //CB:43712862809-"
1.0,"SMARTPHONE XIAOMI REDMI 13C //CB:43710380762-IMEI: R$ 929,90","929,90",929.9,"1,00 un SMARTPHONE XIAOMI REDMI 13C //CB:43710380762-IMEI: R$ 929,90"
1.0,SMARTPHONE XIAOMI REDMI 13C //CB:43709160352-,"929,90",929.9,"1,00 un SMARTPHONE XIAOMI REDMI 13C //CB:43709160352-"
1.0,SMARTPHONE XIAOMI REDMI 13C //CB:43710949424-,"929,90",929.9,"1,00 un SMARTPHONE XIAOMI REDMI 13C //CB:43710949424-"
1.0,SMARTPHONE XIAOMI REDMI 13C //CB:43708525201-,"929,90",929.9,"1,00 un SMARTPHONE XIAOMI REDMI 13C //CB:43708525201-"
1.0,SMARTPHONE XIAOMI REDMI 13C //CB:43709672337-,"929,90",929.9,"1,00 un SMARTPHONE XIAOMI REDMI 13C //CB:43709672337-"
1.0,SMARTPHONE XIAOMI REDMI 13C //CB:43709723931-,"929,90",929.9,"1,00 un SMARTPHONE XIAOMI REDMI 13C //CB:43709723931-"
1.0,SMARTPHONE XIAOMI REDMI 13C //CB:43706158006-,"929,90",929.9,"1,00 un SMARTPHONE XIAOMI REDMI 13C //CB:43706158006-"
1.0,SMARTPHONE XIAOMI REDMI 13C //CB:43708727789-,"929,90",929.9,"1,00 un SMARTPHONE XIAOMI REDMI 13C //CB:43708727789-"
1.0,SMARTPHONE XIAOMI REDMI 13C //CB:43714277886-,"929,90",929.9,"1,00 un SMARTPHONE XIAOMI REDMI 13C //CB:43714277886-"
1.0,SMARTPHONE XIAOMI REDMI 13C //CB:43713683896-,"929,90",929.9,"1,00 un SMARTPHONE XIAOMI REDMI 13C //CB:43713683896-"
1.0,SMARTPHONE XIAOMI REDMI 13C //CB:43710647443-,"929,90",929.9,"1,00 un SMARTPHONE XIAOMI REDMI 13C //CB:43710647443-"
1.0,SMARTPHONE XIAOMI REDMI NOTE 13 PRO 5G //CB:43491891852-,"1.978,00",1978.0,"1,00 un SMARTPHONE XIAOMI REDMI NOTE 13 PRO 5G //CB:43491891852-"
1.0,SMARTPHONE XIAOMI REDMI NOTE 13 PRO 5G //CB:43289275228-,"1.978,00",1978.0,"1,00 un SMARTPHONE XIAOMI REDMI NOTE 13 PRO 5G //CB:43289275228-"
1.0,SMARTPHONE XIAOMI REDMI NOTE 13 PRO 5G //CB:43454420908-,"1.978,00",1978.0,"1,00 un SMARTPHONE XIAOMI REDMI NOTE 13 PRO 5G //CB:43454420908-"
1.0,SMARTPHONE XIAOMI REDMI NOTE 13 PRO 5G //CB:43452426070-,"1.978,00",1978.0,"1,00 un SMARTPHONE XIAOMI REDMI NOTE 13 PRO 5G //CB:43452426070-"
1.0,SMARTPHONE XIAOMI POCO X6 PRO 5G //CB:43452771643-,"2.346,00",2346.0,"1,00 un SMARTPHONE XIAOMI POCO X6 PRO 5G //CB:43452771643-"
1.0,SMARTPHONE XIAOMI REDMI NOTE 13 PRO 5G //CB:43454507644-,"1.978,00",1978.0,"1,00 un SMARTPHONE XIAOMI REDMI NOTE 13 PRO 5G //CB:43454507644-"
1.0,SMARTPHONE XIAOMI POCO X6 PRO 5G //CB:43454986510-,"2.346,00",2346.0,"1,00 un SMARTPHONE XIAOMI POCO X6 PRO 5G //CB:43454986510-"
1.0,SMARTPHONE XIAOMI POCO X6 PRO 5G //CB:43454013862-,"2.346,00",2346.0,"1,00 un SMARTPHONE XIAOMI POCO X6 PRO 5G //CB:43454013862-"
1.0,SMARTPHONE XIAOMI POCO X6 PRO 5G //CB:43454204076-,"2.346,00",2346.0,"1,00 un SMARTPHONE XIAOMI POCO X6 PRO 5G //CB:43454204076-"
1.0,SMARTPHONE XIAOMI POCO X6 PRO 5G //CB:43454160844-,"2.346,00",2346.0,"1,00 un SMARTPHONE XIAOMI POCO X6 PRO 5G //CB:43454160844-"
1.0,SMARTPHONE XIAOMI POCO X6 PRO 5G //CB:43454807093-,"2.346,00",2346.0,"1,00 un SMARTPHONE XIAOMI POCO X6 PRO 5G //CB:43454807093-"
1.0,SMARTPHONE XIAOMI 8GB-256GB //CB:43183284010-,"1.649,00",1649.0,"1,00 un SMARTPHONE XIAOMI 8GB-256GB //CB:43183284010-"
1.0,SMARTPHONE XIAOMI 8GB-256GB //CB:43183109084-,"1.649,00",1649.0,"1,00 un SMARTPHONE XIAOMI 8GB-256GB //CB:43183109084-"
1.0,SMARTPHONE XIAOMI 8GB-256GB //CB:43183750402-,"1.649,00",1649.0,"1,00 un SMARTPHONE XIAOMI 8GB-256GB //CB:43183750402-"
1.0,SMARTPHONE XIAOMI 8GB-256GB //CB:43183736145-,"1.649,00",1649.0,"1,00 un SMARTPHONE XIAOMI 8GB-256GB //CB:43183736145-"
1.0,SMARTPHONE XIAOMI REDMI 13 C //IMEI:861821070833261-NOVO -,"1.034,10",1034.1,"1,00 un SMARTPHONE XIAOMI REDMI 13 C //IMEI:861821070833261-NOVO -"
1.0,SMARTPHONE XIAOMI REDMI 13 C //IMEI:861798074542389-NOVO -,"1.034,10",1034.1,"1,00 un SMARTPHONE XIAOMI REDMI 13 C //IMEI:861798074542389-NOVO -"
1.0,SMARTPHONE XIAOMI REDMI 13 C //IMEI:861798074533081-NOVO -,"1.034,10",1034.1,"1,00 un SMARTPHONE XIAOMI REDMI 13 C //IMEI:861798074533081-NOVO -"
1.0,SMARTPHONE XIAOMI REDMI 13 C //IMEI:861798074525608-NOVO -,"1.034,10",1034.1,"1,00 un SMARTPHONE XIAOMI REDMI 13 C //IMEI:861798074525608-NOVO -"
1.0,SMARTPHONE XIAOMI REDMI 13 C //IMEI:861798074808285-NOVO -,"1.034,10",1034.1,"1,00 un SMARTPHONE XIAOMI REDMI 13 C //IMEI:861798074808285-NOVO -"
1.0,SMARTPHONE XIAOMI REDMI 13 C //IMEI:861798074448942-NOVO -,"1.034,10",1034.1,"1,00 un SMARTPHONE XIAOMI REDMI 13 C //IMEI:861798074448942-NOVO -"
1.0,SMARTPHONE XIAOMI REDMI 13 C //IMEI:861821070833402-NOVO -,"1.034,10",1034.1,"1,00 un SMARTPHONE XIAOMI REDMI 13 C //IMEI:861821070833402-NOVO -"
1.0,SMARTPHONE XIAOMI REDMI 13 C //IMEI:861798074510246-NOVO -,"1.034,10",1034.1,"1,00 un SMARTPHONE XIAOMI REDMI 13 C //IMEI:861798074510246-NOVO -"
1.0,SMARTPHONE XIAOMI REDMI 13 C //IMEI:861798074488187-NOVO -,"1.034,10",1034.1,"1,00 un SMARTPHONE XIAOMI REDMI 13 C //IMEI:861798074488187-NOVO -"
1.0,SMARTPHONE XIAOMI REDMI 13 C //IMEI:861821070830002-NOVO -,"1.034,10",1034.1,"1,00 un SMARTPHONE XIAOMI REDMI 13 C //IMEI:861821070830002-NOVO -"
1.0,SMARTPHONE XIAOMI REDMI 13 C //IMEI:862626070132427-NOVO -,"989,10",989.1,"1,00 un SMARTPHONE XIAOMI REDMI 13 C //IMEI:862626070132427-NOVO -"
1.0,SMARTPHONE XIAOMI REDMI 13C //IMEI:862839071380107-NOVO -,"989,10",989.1,"1,00 un SMARTPHONE XIAOMI REDMI 13C //IMEI:862839071380107-NOVO -"
1.0,SMARTPHONE XIAOMI REDMI 13C //IMEI:862839071645541-NOVO - -,"989,10",989.1,"1,00 un SMARTPHONE XIAOMI REDMI 13C //IMEI:862839071645541-NOVO - -"
1.0,SMARTPHONE XIAOMI REDMI 13C //IMEI:867811078653146-NOVO - -,"989,10",989.1,"1,00 un SMARTPHONE XIAOMI REDMI 13C //IMEI:867811078653146-NOVO - -"
1.0,SMARTPHONE XIAOMI REDMI 13C //IMEI:867443073592143-NOVO - -,"989,10",989.1,"1,00 un SMARTPHONE XIAOMI REDMI 13C //IMEI:867443073592143-NOVO - -"
1.0,SMARTPHONE XIAOMI REDMI 13C //IMEI:862839071765182-NOVO - -,"989,10",989.1,"1,00 un SMARTPHONE XIAOMI REDMI 13C //IMEI:862839071765182-NOVO - -"
1.0,SMARTPHONE XIAOMI REDMI A3X //IMEI:867400071521565-NOVO -,"719,99",719.99,"1,00 un SMARTPHONE XIAOMI REDMI A3X //IMEI:867400071521565-NOVO -"
1.0,SMARTPHONE XIAOMI REDMI A3X //IMEI:867400075254064-NOVO -,"719,99",719.99,"1,00 un SMARTPHONE XIAOMI REDMI A3X //IMEI:867400075254064-NOVO -"
1.0,SMARTPHONE XIAOMI REDMI A3X //IMEI:867400071466241-NOVO -,"719,99",719.99,"1,00 un SMARTPHONE XIAOMI REDMI A3X //IMEI:867400071466241-NOVO -"
1.0,"SMARTPHONE XIAOMI REDMI A3X //IMEI:867400075191423-NOVO R$ 719,99","719,99",719.99,"1,00 un SMARTPHONE XIAOMI REDMI A3X //IMEI:867400075191423-NOVO R$ 719,99"
1.0,SMARTPHONE XIAOMI REDMI A3X //IMEI:867400075165484-NOVO -,"719,99",719.99,"1,00 un SMARTPHONE XIAOMI REDMI A3X //IMEI:867400075165484-NOVO -"
1.0,SMARTPHONE XIAOMI REDMI A3X //IMEI:867400070848365-NOVO -,"719,99",719.99,"1,00 un SMARTPHONE XIAOMI REDMI A3X //IMEI:867400070848365-NOVO -"
1.0,SMARTPHONE XIAOMI REDMI A3X //IMEI:867400070645506-NOVO -,"719,99",719.99,"1,00 un SMARTPHONE XIAOMI REDMI A3X //IMEI:867400070645506-NOVO -"
1.0,SMARTPHONE XIAOMI REDMI A3X //IMEI:867400071513828-NOVO -,"719,99",719.99,"1,00 un SMARTPHONE XIAOMI REDMI A3X //IMEI:867400071513828-NOVO -"
1.0,SMARTPHONE XIAOMI REDMI A3X //IMEI:867400070677426-NOVO -,"719,99",719.99,"1,00 un SMARTPHONE XIAOMI REDMI A3X //IMEI:867400070677426-NOVO -"
1.0,SMARTPHONE XIAOMI REDMI A3X //IMEI:867400075205264-NOVO -,"719,99",719.99,"1,00 un SMARTPHONE XIAOMI REDMI A3X //IMEI:867400075205264-NOVO -"
1.0,SMARTPHONE XIAOMI REDMI A3X //IMEI:867400075166581-NOVO -,"719,99",719.99,"1,00 un SMARTPHONE XIAOMI REDMI A3X //IMEI:867400075166581-NOVO -"
1.0,SMARTPHONE XIAOMI REDMI A3X //IMEI:867400071520609-NOVO -,"719,99",719.99,"1,00 un SMARTPHONE XIAOMI REDMI A3X //IMEI:867400071520609-NOVO -"
1.0,SMARTPHONE XIAOMI REDMI A3X //IMEI:867400075262901-NOVO -,"719,99",719.99,"1,00 un SMARTPHONE XIAOMI REDMI A3X //IMEI:867400075262901-NOVO -"
1.0,SMARTPHONE XIAOMI REDMI A3X //IMEI:867400075253942-NOVO -,"719,99",719.99,"1,00 un SMARTPHONE XIAOMI REDMI A3X //IMEI:867400075253942-NOVO -"
1.0,SMARTPHONE XIAOMI REDMI A3X //IMEI:867400075192942-NOVO -,"719,99",719.99,"1,00 un SMARTPHONE XIAOMI REDMI A3X //IMEI:867400075192942-NOVO -"
1.0,SMARTPHONE XIAOMI REDMI A3X //IMEI:867400070870625-NOVO -,"719,99",719.99,"1,00 un SMARTPHONE XIAOMI REDMI A3X //IMEI:867400070870625-NOVO -"
1.0,SMARTPHONE XIAOMI REDMI A3X //IMEI:867400075251904-NOVO -,"719,99",719.99,"1,00 un SMARTPHONE XIAOMI REDMI A3X //IMEI:867400075251904-NOVO -"
1.0,SMARTPHONE XIAOMI REDMI A3X //IMEI:867400071513109-NOVO -,"719,99",719.99,"1,00 un SMARTPHONE XIAOMI REDMI A3X //IMEI:867400071513109-NOVO -"
1.0,SMARTPHONE XIAOMI REDMI A3X //IMEI:867400075162507-NOVO -,"719,99",719.99,"1,00 un SMARTPHONE XIAOMI REDMI A3X //IMEI:867400075162507-NOVO -"
1.0,SMARTPHONE XIAOMI REDMI A3X //IMEI:867400070859503-NOVO -,"719,99",719.99,"1,00 un SMARTPHONE XIAOMI REDMI A3X //IMEI:867400070859503-NOVO -"
1.0,SMARTPHONE XIAOMI REDMI A3X //IMEI:867400075190383-NOVO -,"719,99",719.99,"1,00 un SMARTPHONE XIAOMI REDMI A3X //IMEI:867400075190383-NOVO -"
1.0,SMARTPHONE XIAOMI REDMI A3X //IMEI:867400070257740-NOVO -,"719,99",719.99,"1,00 un SMARTPHONE XIAOMI REDMI A3X //IMEI:867400070257740-NOVO -"
1.0,SMARTPHONE XIAOMI REDMI A3X //IMEI:867400070645803-NOVO -,"719,99",719.99,"1,00 un SMARTPHONE XIAOMI REDMI A3X //IMEI:867400070645803-NOVO -"
1.0,SMARTPHONE XIAOMI REDMI A3X //IMEI:867400075204267-NOVO -,"719,99",719.99,"1,00 un SMARTPHONE XIAOMI REDMI A3X //IMEI:867400075204267-NOVO -"
1.0,SMARTPHONE XIAOMI REDMI A3X //IMEI:867400071417384-NOVO -,"719,99",719.99,"1,00 un SMARTPHONE XIAOMI REDMI A3X //IMEI:867400071417384-NOVO -"
1.0,SMARTPHONE XIAOMI REDMI A3X //IMEI:867400075194740-NOVO -,"719,99",719.99,"1,00 un SMARTPHONE XIAOMI REDMI A3X //IMEI:867400075194740-NOVO -"
1.0,SMARTPHONE XIAOMI REDMI A3X //IMEI:867400071524361-NOVO -,"719,99",719.99,"1,00 un SMARTPHONE XIAOMI REDMI A3X //IMEI:867400071524361-NOVO -"
1.0,SMARTPHONE XIAOMI REDMI A3X //IMEI:867400071462463-NOVO -,"719,99",719.99,"1,00 un SMARTPHONE XIAOMI REDMI A3X //IMEI:867400071462463-NOVO -"
1.0,SMARTPHONE XIAOMI REDMI A3X //IMEI:867400075191084-NOVO -,"719,99",719.99,"1,00 un SMARTPHONE XIAOMI REDMI A3X //IMEI:867400075191084-NOVO -"
1.0,SMARTPHONE XIAOMI REDMI A3X //IMEI:867400070861087-NOVO -,"719,99",719.99,"1,00 un SMARTPHONE XIAOMI REDMI A3X //IMEI:867400070861087-NOVO -"
1.0,SMARTPHONE XIAOMI REDMI A3X //IMEI:867400075194385-NOVO -,"719,99",719.99,"1,00 un SMARTPHONE XIAOMI REDMI A3X //IMEI:867400075194385-NOVO -"
1.0,SMARTPHONE XIAOMI REDMI A3X //IMEI:867400070253483-NOVO -,"719,99",719.99,"1,00 un SMARTPHONE XIAOMI REDMI A3X //IMEI:867400070253483-NOVO -"
1.0,SMARTPHONE XIAOMI REDMI A3X //IMEI:867400075255020-NOVO -,"719,99",719.99,"1,00 un SMARTPHONE XIAOMI REDMI A3X //IMEI:867400075255020-NOVO -"
1.0,SMARTPHONE XIAOMI REDMI A3X //IMEI:867400075250708-NOVO -,"719,99",719.99,"1,00 un SMARTPHONE XIAOMI REDMI A3X //IMEI:867400075250708-NOVO -"
1.0,SMARTPHONE XIAOMI REDMI A3X //IMEI:867400075254726-NOVO -,"719,99",719.99,"1,00 un SMARTPHONE XIAOMI REDMI A3X //IMEI:867400075254726-NOVO -"
1.0,SMARTPHONE XIAOMI REDMI A3X //IMEI:867400070842368-NOVO -,"719,99",719.99,"1,00 un SMARTPHONE XIAOMI REDMI A3X //IMEI:867400070842368-NOVO -"
1.0,SMARTPHONE XIAOMI REDMI A3X //IMEI:867400075190201-NOVO -,"719,99",719.99,"1,00 un SMARTPHONE XIAOMI REDMI A3X //IMEI:867400075190201-NOVO -"
1.0,SMARTPHONE XIAOMI REDMI A3X //IMEI:867400075162960-NOVO -,"719,99",719.99,"1,00 un SMARTPHONE XIAOMI REDMI A3X //IMEI:867400075162960-NOVO -"
1.0,SMARTPHONE XIAOMI REDMI A3X //IMEI:867400075192082-NOVO -,"719,99",719.99,"1,00 un SMARTPHONE XIAOMI REDMI A3X //IMEI:867400075192082-NOVO -"
1.0,SMARTPHONE XIAOMI REDMI A3X //IMEI:867400075248363-NOVO -,"719,99",719.99,"1,00 un SMARTPHONE XIAOMI REDMI A3X //IMEI:867400075248363-NOVO -"
1.0,SMARTPHONE XIAOMI REDMI A3X //IMEI:867400070283381-NOVO -,"719,99",719.99,"1,00 un SMARTPHONE XIAOMI REDMI A3X //IMEI:867400070283381-NOVO -"
1.0,SMARTPHONE XIAOMI REDMI A3X //IMEI:867400075193981-NOVO -,"719,99",719.99,"1,00 un SMARTPHONE XIAOMI REDMI A3X //IMEI:867400075193981-NOVO -"
1.0,SMARTPHONE XIAOMI REDMI A3X //IMEI:867400070301985-NOVO -,"719,99",719.99,"1,00 un SMARTPHONE XIAOMI REDMI A3X //IMEI:867400070301985-NOVO -"
1.0,SMARTPHONE XIAOMI REDMI A3X //IMEI:867400075198543-NOVO -,"719,99",719.99,"1,00 un SMARTPHONE XIAOMI REDMI A3X //IMEI:867400075198543-NOVO -"
1.0,SMARTPHONE XIAOMI REDMI A3X //IMEI:867400071523520-NOVO -,"719,99",719.99,"1,00 un SMARTPHONE XIAOMI REDMI A3X //IMEI:867400071523520-NOVO -"
1.0,SMARTPHONE XIAOMI REDMI A3X //IMEI:867400071460921-NOVO -,"719,99",719.99,"1,00 un SMARTPHONE XIAOMI REDMI A3X //IMEI:867400071460921-NOVO -"
1.0,SMARTPHONE XIAOMI REDMI A3X //IMEI:867400075240741-NOVO -,"719,99",719.99,"1,00 un SMARTPHONE XIAOMI REDMI A3X //IMEI:867400075240741-NOVO -"
1.0,SMARTPHONE XIAOMI REDMI A3X //IMEI:867400070676287-NOVO -,"719,99",719.99,"1,00 un SMARTPHONE XIAOMI REDMI A3X //IMEI:867400070676287-NOVO -"
1.0,SMARTPHONE XIAOMI REDMI A3X //IMEI:867400070650803-NOVO -,"719,99",719.99,"1,00 un SMARTPHONE XIAOMI REDMI A3X //IMEI:867400070650803-NOVO -"
1.0,SMARTPHONE XIAOMI REDMI A3X //IMEI:867400070850346-NOVO -,"719,99",719.99,"1,00 un SMARTPHONE XIAOMI REDMI A3X //IMEI:867400070850346-NOVO -"
1.0,SMARTPHONE XIAOMI REDMI A3X //IMEI:867400075163224-NOVO -,"719,99",719.99,"1,00 un SMARTPHONE XIAOMI REDMI A3X //IMEI:867400075163224-NOVO -"
1.0,SMARTPHONE XIAOMI REDMI A3X //IMEI:867400075247928-NOVO -,"719,99",719.99,"1,00 un SMARTPHONE XIAOMI REDMI A3X //IMEI:867400075247928-NOVO -"
1.0,SMARTPHONE XIAOMI REDMI A3X //IMEI:867400071499523-NOVO -,"719,99",719.99,"1,00 un SMARTPHONE XIAOMI REDMI A3X //IMEI:867400071499523-NOVO -"
1.0,SMARTPHONE XIAOMI REDMI A3X //IMEI:867400070868165-NOVO -,"719,99",719.99,"1,00 un SMARTPHONE XIAOMI REDMI A3X //IMEI:867400070868165-NOVO -"
1.0,SMARTPHONE XIAOMI REDMI A3X //IMEI:867400070287580-NOVO -,"719,99",719.99,"1,00 un SMARTPHONE XIAOMI REDMI A3X //IMEI:867400070287580-NOVO -"
1.0,SMARTPHONE XIAOMI REDMI A3X //IMEI:867400070677947-NOVO -,"719,99",719.99,"1,00 un SMARTPHONE XIAOMI REDMI A3X //IMEI:867400070677947-NOVO -"
1.0,SMARTPHONE XIAOMI REDMI A3X //IMEI:867400070291582-NOVO -,"719,99",719.99,"1,00 un SMARTPHONE XIAOMI REDMI A3X //IMEI:867400070291582-NOVO -"
1.0,SMARTPHONE XIAOMI POCO C65 //IMEI:867129078413928-NOVO -,"1.140,80",1140.8,"1,00 un SMARTPHONE XIAOMI POCO C65 //IMEI:867129078413928-NOVO -"
1.0,SMARTPHONE XIAOMI POCO C65 //IMEI:867129078444022-NOVO -,"1.140,80",1140.8,"1,00 un SMARTPHONE XIAOMI POCO C65 //IMEI:867129078444022-NOVO -"
1.0,SMARTPHONE XIAOMI POCO C65 //IMEI:867129078467320-NOVO -,"1.140,80",1140.8,"1,00 un SMARTPHONE XIAOMI POCO C65 //IMEI:867129078467320-NOVO -"
1.0,SMARTPHONE XIAOMI POCO C65 //IMEI:867129078427506-NOVO -,"1.140,80",1140.8,"1,00 un SMARTPHONE XIAOMI POCO C65 //IMEI:867129078427506-NOVO -"
1.0,SMARTPHONE XIAOMI POCO C65 //IMEI:867129078443669-NOVO -,"1.140,80",1140.8,"1,00 un SMARTPHONE XIAOMI POCO C65 //IMEI:867129078443669-NOVO -"
1.0,SMARTPHONE XIAOMI POCO C65 //IMEI:867129078465381-NOVO -,"1.140,80",1140.8,"1,00 un SMARTPHONE XIAOMI POCO C65 //IMEI:867129078465381-NOVO -"
1.0,SMARTPHONE XIAOMI POCO C65 //IMEI:867129078466983-NOVO -,"1.140,80",1140.8,"1,00 un SMARTPHONE XIAOMI POCO C65 //IMEI:867129078466983-NOVO -"
1.0,SMARTPHONE XIAOMI POCO C65 //IMEI:867129078358420-NOVO -,"1.140,80",1140.8,"1,00 un SMARTPHONE XIAOMI POCO C65 //IMEI:867129078358420-NOVO -"
1.0,SMARTPHONE XIAOMI POCO C65 //IMEI:867129078469185-NOVO -,"1.140,80",1140.8,"1,00 un SMARTPHONE XIAOMI POCO C65 //IMEI:867129078469185-NOVO -"
1.0,SMARTPHONE XIAOMI POCO C65 //IMEI:867129078436309-NOVO -,"1.140,80",1140.8,"1,00 un SMARTPHONE XIAOMI POCO C65 //IMEI:867129078436309-NOVO -"
1.0,SMARTPHONE XIAOMI POCO C65 //IMEI:867129078355103-NOVO -,"1.140,80",1140.8,"1,00 un SMARTPHONE XIAOMI POCO C65 //IMEI:867129078355103-NOVO -"
1.0,SMARTPHONE XIAOMI REDMI NOTE 13 PRO 5G,"1.927,53",1927.53,"1,00 un SMARTPHONE XIAOMI REDMI NOTE 13 PRO 5G"
1.0,SMARTPHONE XIAOMI REDMI 13C //IMEI:862839071789646-NOVO -,"930,75",930.75,"1,00 un SMARTPHONE XIAOMI REDMI 13C //IMEI:862839071789646-NOVO -"
1.0,SMARTPHONE XIAOMI REDMI 13C //IMEI:862839071631822-NOVO -,"930,75",930.75,"1,00 un SMARTPHONE XIAOMI REDMI 13C //IMEI:862839071631822-NOVO -"
1.0,SMARTPHONE XIAOMI REDMI 13C //IMEI:862839071813321-NOVO -,"930,75",930.75,"1,00 un SMARTPHONE XIAOMI REDMI 13C //IMEI:862839071813321-NOVO -"
1.0,SMARTPHONE XIAOMI REDMI 13C //IMEI:862839071704728-NOVO -,"930,75",930.75,"1,00 un SMARTPHONE XIAOMI REDMI 13C //IMEI:862839071704728-NOVO -"
1.0,SMARTPHONE XIAOMI REDMI 13C //IMEI:862839071765042-NOVO -,"930,75",930.75,"1,00 un SMARTPHONE XIAOMI REDMI 13C //IMEI:862839071765042-NOVO -"
1.0,SMARTPHONE XIAOMI REDMI 13C //IMEI:862839071874109-NOVO -,"930,75",930.75,"1,00 un SMARTPHONE XIAOMI REDMI 13C //IMEI:862839071874109-NOVO -"
1.0,SMARTPHONE XIAOMI REDMI 13C //IMEI:862839071737942-NOVO -,"930,75",930.75,"1,00 un SMARTPHONE XIAOMI REDMI 13C //IMEI:862839071737942-NOVO -"
1.0,SMARTPHONE XIAOMI REDMI 13C //IMEI:862839071825382-NOVO -,"930,75",930.75,"1,00 un SMARTPHONE XIAOMI REDMI 13C //IMEI:862839071825382-NOVO -"
1.0,SMARTPHONE XIAOMI REDMI 13C //IMEI:862839071880247-NOVO -,"930,75",930.75,"1,00 un SMARTPHONE XIAOMI REDMI 13C //IMEI:862839071880247-NOVO -"
1.0,SMARTPHONE XIAOMI REDMI 13C //IMEI:862839071671745-NOVO -,"930,75",930.75,"1,00 un SMARTPHONE XIAOMI REDMI 13C //IMEI:862839071671745-NOVO -"
1.0,SMARTPHONE XIAOMI REDMI 13C //IMEI:861798074542967-NOVO -,"1.046,32",1046.32,"1,00 un SMARTPHONE XIAOMI REDMI 13C //IMEI:861798074542967-NOVO -"
1.0,SMARTPHONE XIAOMI REDMI 13C //IMEI:861798074413342-NOVO -,"1.046,32",1046.32,"1,00 un SMARTPHONE XIAOMI REDMI 13C //IMEI:861798074413342-NOVO -"
1.0,SMARTPHONE XIAOMI REDMI 13C //IMEI:861821070825481-NOVO -,"1.046,32",1046.32,"1,00 un SMARTPHONE XIAOMI REDMI 13C //IMEI:861821070825481-NOVO -"
1.0,SMARTPHONE XIAOMI REDMI 13C //IMEI:861798074476604-NOVO -,"1.046,32",1046.32,"1,00 un SMARTPHONE XIAOMI REDMI 13C //IMEI:861798074476604-NOVO -"
1.0,SMARTPHONE XIAOMI REDMI 13C //IMEI:861798074522969-NOVO -,"1.046,32",1046.32,"1,00 un SMARTPHONE XIAOMI REDMI 13C //IMEI:861798074522969-NOVO -"
1.0,SMARTPHONE XIAOMI REDMI 13C //IMEI:861798074509545-NOVO -,"1.046,32",1046.32,"1,00 un SMARTPHONE XIAOMI REDMI 13C //IMEI:861798074509545-NOVO -"
1.0,SMARTPHONE XIAOMI REDMI 13C //IMEI:861798074434421-NOVO -,"1.046,32",1046.32,"1,00 un SMARTPHONE XIAOMI REDMI 13C //IMEI:861798074434421-NOVO -"
1.0,SMARTPHONE XIAOMI REDMI 13C //IMEI:861798074722387-NOVO -,"1.046,32",1046.32,"1,00 un SMARTPHONE XIAOMI REDMI 13C //IMEI:861798074722387-NOVO -"
1.0,SMARTPHONE XIAOMI REDMI 13C //IMEI:861798074753846-NOVO -,"1.046,32",1046.32,"1,00 un SMARTPHONE XIAOMI REDMI 13C //IMEI:861798074753846-NOVO -"
1.0,SMARTPHONE XIAOMI REDMI 13C //IMEI:861798074530640-NOVO -,"1.046,32",1046.32,"1,00 un SMARTPHONE XIAOMI REDMI 13C //IMEI:861798074530640-NOVO -"
1.0,SMARTPHONE XIAOMI REDMI 13C //IMEI:861798074626364-NOVO -,"1.046,32",1046.32,"1,00 un SMARTPHONE XIAOMI REDMI 13C //IMEI:861798074626364-NOVO -"
1.0,SMARTPHONE XIAOMI REDMI 13C //IMEI:861798074825180-NOVO -,"1.046,32",1046.32,"1,00 un SMARTPHONE XIAOMI REDMI 13C //IMEI:861798074825180-NOVO -"
1.0,SMARTPHONE XIAOMI REDMI 13C //IMEI:861798074539385-NOVO -,"1.046,32",1046.32,"1,00 un SMARTPHONE XIAOMI REDMI 13C //IMEI:861798074539385-NOVO -"
1.0,SMARTPHONE XIAOMI REDMI 13C //IMEI:861798074532968-NOVO -,"1.046,32",1046.32,"1,00 un SMARTPHONE XIAOMI REDMI 13C //IMEI:861798074532968-NOVO -"
1.0,SMARTPHONE XIAOMI REDMI 13C //IMEI:861821070813529-NOVO -,"1.046,32",1046.32,"1,00 un SMARTPHONE XIAOMI REDMI 13C //IMEI:861821070813529-NOVO -"
